FID,BuildingID,landUseTyp,Area,Fheight,Fnum,Height,Age,LandNum,Cluster,Centre
11170,346142973.0,Residential_1,199.2197,3.0,3,9.0,1970.0,0,2.0,-1.0
11294,85375484.0,Residential_1,271.9778,3.0,2,6.0,1970.0,0,1.0,-1.0
11308,85375522.0,Residential_1,544.398,3.0,2,6.0,1970.0,0,2.0,-1.0
11519,85375902.0,Residential_1,576.1314,3.0,3,9.0,1970.0,0,2.0,-1.0
11520,85375903.0,Residential_1,136.5034,3.0,1,3.0,1970.0,0,1.0,-1.0
11537,85375948.0,Residential_1,643.0449,3.0,2,6.0,1970.0,0,2.0,-1.0
11614,85376223.0,Residential_1,695.5072,3.0,1,3.0,1980.0,0,7.0,-1.0
11620,85376235.0,Residential_1,278.388,3.0,1,3.0,1970.0,0,1.0,-1.0
11623,85376238.0,Residential_1,583.418,3.0,3,9.0,1990.0,0,8.0,-1.0
11794,85501519.0,Residential_1,283.3252,3.0,3,9.0,1970.0,0,2.0,-1.0
11795,85501520.0,Residential_1,423.2683,0.0,0,6.0,1970.0,0,2.0,-1.0
12096,85372970.0,Residential_1,359.8973,3.0,3,9.0,1970.0,0,2.0,-1.0
12097,85372971.0,Residential_1,359.8961,3.0,3,9.0,1970.0,0,2.0,-1.0
12213,85373279.0,Residential_1,1375.7629,3.0,1,3.0,1970.0,0,1.0,-1.0
12346,85373722.0,Residential_1,588.6338,3.0,1,3.0,1970.0,0,1.0,-1.0
12405,85373819.0,Residential_1,214.9742,3.0,1,3.0,1970.0,0,1.0,-1.0
12429,85373845.0,Residential_1,156.3875,3.0,1,3.0,1970.0,0,1.0,-1.0
12430,85373846.0,Residential_1,181.9711,3.0,3,9.0,1970.0,0,2.0,-1.0
12508,85456024.0,Residential_1,423.513,3.0,3,9.0,1970.0,0,2.0,-1.0
12563,85504682.0,Residential_1,1303.1901,0.0,0,3.0,1970.0,0,1.0,-1.0
12576,85504711.0,Residential_1,2405.7723,0.0,0,6.0,1970.0,0,2.0,-1.0
12598,85505168.0,Residential_1,4019.7132,0.0,0,12.0,1970.0,0,2.0,-1.0
12599,85505169.0,Residential_1,4150.3738,0.0,0,12.0,1970.0,0,2.0,-1.0
12608,85505210.0,Residential_1,1417.8061,0.0,0,10.0,1970.0,0,2.0,-1.0
14195,85397706.0,Residential_1,497.5954,3.0,2,6.0,1970.0,0,2.0,-1.0
14386,85430480.0,Residential_1,277.3888,3.0,2,6.0,1970.0,0,1.0,-1.0
14394,85430607.0,Residential_1,297.4956,3.0,2,6.0,1970.0,0,2.0,-1.0
14397,85430610.0,Residential_1,531.3016,3.0,2,6.0,1970.0,0,2.0,-1.0
14425,85430651.0,Residential_1,465.8276,3.0,3,9.0,1970.0,0,2.0,-1.0
14427,85430653.0,Residential_1,365.819,3.0,3,9.0,1970.0,0,2.0,-1.0
14489,85513817.0,Residential_1,285.9565,0.0,0,6.0,1970.0,0,1.0,-1.0
14490,85513818.0,Residential_1,277.5406,0.0,0,6.0,1970.0,0,1.0,-1.0
14536,85529031.0,Residential_1,5992.8246,0.0,0,8.0,1970.0,0,2.0,-1.0
14760,85387494.0,Residential_1,908.4031,3.0,1,3.0,1970.0,0,1.0,-1.0
14855,85387589.0,Residential_1,1056.6548,3.0,3,9.0,1970.0,0,2.0,-1.0
14862,85387597.0,Residential_1,321.869,3.0,3,9.0,1970.0,0,2.0,-1.0
14863,85387598.0,Residential_1,483.8963,3.0,3,9.0,1970.0,0,2.0,-1.0
14884,85387622.0,Residential_1,267.6929,3.0,1,3.0,1970.0,0,1.0,-1.0
14893,85387632.0,Residential_1,244.1231,3.0,3,9.0,1970.0,0,2.0,-1.0
14894,85387633.0,Residential_1,304.0159,3.0,3,9.0,1970.0,0,2.0,-1.0
14898,85387637.0,Residential_1,280.2101,3.0,3,9.0,1970.0,0,2.0,-1.0
14900,85387639.0,Residential_1,416.2517,3.0,3,9.0,1970.0,0,2.0,-1.0
14901,85387640.0,Residential_1,376.2516,3.0,3,9.0,1970.0,0,2.0,-1.0
14909,85387648.0,Residential_1,235.6604,3.0,2,6.0,1970.0,0,1.0,-1.0
14910,85387649.0,Residential_1,180.4117,3.0,3,9.0,1970.0,0,2.0,-1.0
14911,85387650.0,Residential_1,262.6512,3.0,3,9.0,1970.0,0,2.0,-1.0
14912,85387651.0,Residential_1,365.3038,3.0,3,9.0,1970.0,0,2.0,-1.0
14913,85387652.0,Residential_1,280.0242,3.0,3,9.0,1970.0,0,2.0,-1.0
14916,85387655.0,Residential_1,347.8015,3.0,3,9.0,1970.0,0,2.0,-1.0
14926,85387665.0,Residential_1,267.9072,3.0,3,9.0,1970.0,0,2.0,-1.0
14930,85387669.0,Residential_1,285.974,3.0,3,9.0,1970.0,0,2.0,-1.0
14936,85387675.0,Residential_1,389.2597,3.0,3,9.0,1970.0,0,2.0,-1.0
14948,85387687.0,Residential_1,240.6019,3.0,1,3.0,1970.0,0,1.0,-1.0
15040,85387788.0,Residential_1,167.5741,3.0,3,9.0,1970.0,0,2.0,-1.0
15080,85387833.0,Residential_1,265.162,3.0,1,3.0,1970.0,0,1.0,-1.0
15081,85387834.0,Residential_1,149.0703,3.0,3,9.0,1970.0,0,2.0,-1.0
15082,85387835.0,Residential_1,165.7086,3.0,3,9.0,1970.0,0,2.0,-1.0
15097,85387850.0,Residential_1,112.1476,3.0,1,3.0,1970.0,0,1.0,-1.0
15156,85422235.0,Residential_1,1024.3248,3.0,3,9.0,1970.0,0,2.0,-1.0
15157,85422236.0,Residential_1,688.0316,3.0,3,9.0,1970.0,0,2.0,-1.0
15166,85422204.0,Residential_1,527.0381,3.0,2,6.0,1970.0,0,2.0,-1.0
15168,85422206.0,Residential_1,688.7548,3.0,2,6.0,1970.0,0,2.0,-1.0
15175,85422214.0,Residential_1,356.5374,3.0,1,3.0,1970.0,0,1.0,-1.0
15180,85422219.0,Residential_1,262.2562,3.0,2,6.0,1970.0,0,1.0,-1.0
15182,85422221.0,Residential_1,458.3505,3.0,2,6.0,1970.0,0,2.0,-1.0
15188,85422363.0,Residential_1,544.1427,3.0,3,9.0,1970.0,0,2.0,-1.0
15189,85422364.0,Residential_1,604.4612,3.0,3,9.0,1970.0,0,2.0,-1.0
15191,85422400.0,Residential_1,979.5979,3.0,3,9.0,1970.0,0,2.0,-1.0
15201,85422967.0,Residential_1,480.5495,3.0,3,9.0,1970.0,0,2.0,-1.0
15203,85422992.0,Residential_1,204.1891,3.0,3,9.0,1970.0,0,2.0,-1.0
15205,85422994.0,Residential_1,147.9561,3.0,3,9.0,1970.0,0,2.0,-1.0
15206,85422995.0,Residential_1,204.1912,3.0,3,9.0,1970.0,0,2.0,-1.0
15208,85422997.0,Residential_1,204.0188,3.0,3,9.0,1970.0,0,2.0,-1.0
15209,85422998.0,Residential_1,204.0199,3.0,3,9.0,1970.0,0,2.0,-1.0
15210,85422999.0,Residential_1,204.0979,3.0,3,9.0,1970.0,0,2.0,-1.0
15211,85423000.0,Residential_1,204.1859,3.0,3,9.0,1970.0,0,2.0,-1.0
15212,85423001.0,Residential_1,204.1872,3.0,3,9.0,1970.0,0,2.0,-1.0
15230,85423022.0,Residential_1,397.9963,3.0,3,9.0,1970.0,0,2.0,-1.0
15232,85423024.0,Residential_1,352.6491,3.0,3,9.0,1970.0,0,2.0,-1.0
15933,85383606.0,Residential_1,942.7868,3.0,2,6.0,1970.0,0,2.0,-1.0
15964,545299525.0,Residential_1,141.1426,3.0,2,6.0,1970.0,0,1.0,-1.0
15967,545299656.0,Residential_1,700.1758,3.0,1,3.0,1970.0,0,1.0,-1.0
15968,545299657.0,Residential_1,792.186,3.0,1,3.0,1970.0,0,1.0,-1.0
15978,548467641.0,Residential_1,966.4593,3.0,1,3.0,1970.0,0,1.0,-1.0
16011,2137976888.0,Residential_1,747.3879,0.0,0,6.0,1970.0,0,2.0,-1.0
16501,85503668.0,Residential_1,3935.9534,0.0,0,9.0,1970.0,0,2.0,-1.0
